name,pfs,source,rarity,trait,item_category,item_subcategory,level,price,bulk,usage,url
Raft,,GM Core pg. 217,Common,,Vehicles,,-1,3 gp,,,/Vehicles.aspx?ID=77
Club,Standard,Player Core pg. 277,Common,Thrown 10 ft.,Weapons,Base Weapons,0,,1,,/Weapons.aspx?ID=357
Exquisite Sword Cane Sheath,,Pathfinder #157: Devil at the Dreaming Palace pg. 80,Common,"Agile, Finesse, Parry, Twin (Sword)",Weapons,Base Weapons,0,,L,,/Weapons.aspx?ID=133
Primal Symbol,Standard,Player Core pg. 290,Common,,Adventuring Gear,,0,,,,/Equipment.aspx?ID=2743
Sling,Standard,Player Core pg. 280,Common,Propulsive,Weapons,Base Weapons,0,,L,,/Weapons.aspx?ID=430
Staff,Standard,"Tian Xia Character Guide pg. 127, Player Core pg. 277",Common,"Monk, Two-Hand 1d8",Weapons,Base Weapons,0,,1,,/Weapons.aspx?ID=367
Alcohol,,Gamemastery Guide pg. 120,Common,"Alchemical, Consumable, Drug, Ingested, Poison",Alchemical Items,Drugs,0,1 cp (or more),L,held in 1 hand,/Equipment.aspx?ID=622
Beverages (Mug of Ale),Standard,Player Core pg. 294,Common,,Services,,0,1 cp,L,,/Equipment.aspx?ID=2765
Black Powder (Dose or Round),Standard,Guns & Gears (Remastered) pg. 169,Uncommon,"Alchemical, Consumable, Uncommon",Alchemical Items,Alchemical Ammunition,0,1 cp,,,/Equipment.aspx?ID=1190
Candle,Standard,Player Core pg. 287,Common,,Adventuring Gear,,0,1 cp,,,/Equipment.aspx?ID=2709
Chalk,Standard,Player Core pg. 287,Common,,Adventuring Gear,,0,1 cp (10 pieces),,,/Equipment.aspx?ID=2711
Clay,Standard,Grand Bazaar pg. 58,Common,,Adventuring Gear,,0,1 cp,,held in 2 hands,/Equipment.aspx?ID=1331
"Cloth (Wool Cloth, 1 square yard)",Standard,Travel Guide pg. 37,Common,,Trade Goods,,0,1 cp,,,/Equipment.aspx?ID=1773
Dart,Standard,Player Core pg. 280,Common,"Agile, Thrown",Weapons,Base Weapons,0,1 cp,L,,/Weapons.aspx?ID=426
Feed (Standard),Standard,Travel Guide pg. 101,Common,,Animals and Gear,Animal Caretaking Gear,0,1 cp (1 week),,,/Equipment.aspx?ID=1700
Fish,Standard,"Travel Guide pg. 103, Travel Guide pg. 36",Common,,Animals and Gear,Animals,0,1 cp,,,/Equipment.aspx?ID=1678
Lumber,,Travel Guide pg. 37,Common,,Trade Goods,,0,1 cp (per 40 board feet),,,/Equipment.aspx?ID=1775
Meal (Poor),Standard,Player Core pg. 294,Common,,Services,,0,1 cp,L,,/Equipment.aspx?ID=2767
Mouse,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animals,0,1 cp,,,/Equipment.aspx?ID=1686
